,Fold selected features,Fold nb of features
Fold 10,"['ACP5', 'ADAM15', 'AMIGO2', 'AMY2B', 'ANGPTL2', 'AOC1', 'BAIAP2', 'CASP1', 'CCL15', 'CCL20', 'CD164', 'CD63', 'CDH17', 'CDHR1', 'CEACAM3', 'CES2', 'CNTNAP2', 'CPA2', 'CRTAC1', 'CRX', 'CTSF', 'DDR1', 'DKKL1', 'DLL1', 'ENPP7', 'EPCAM', 'FCN2', 'FCRL5', 'FCRL6', 'FOSB', 'FUCA1', 'GFAP', 'GFRA2', 'GNLY', 'GPA33', 'GPC5', 'GPKOW', 'HDGF', 'HLA-DRA', 'IGF2R', 'IL16', 'IL17C', 'IL18RAP', 'IL2RA', 'IL5RA', 'ILKAP', 'ITGB6', 'JCHAIN', 'KCNIP4', 'KIR2DL3', 'KLK1', 'LRPAP1', 'LYPD1', 'MARCO', 'MDGA1', 'MSLN', 'MUC13', 'MZB1', 'NCLN', 'NDRG1', 'NPTN', 'NRP1', 'PDGFC', 'PDGFRA', 'PM20D1', 'PON3', 'PSIP1', 'RANGAP1', 'SCARB1', 'SCGN', 'SIGLEC9', 'SMOC2', 'SMPDL3A', 'SPINT1', 'SRP14', 'SSB', 'SSC4D', 'TDGF1', 'TFPI2', 'THPO', 'TMPRSS5', 'TNC', 'TNFRSF4', 'TNFRSF8', 'XPNPEP2']",85
Fold 11,['MZB1'],1
Fold 12,"['ADAMTS15', 'ADGRG1', 'ADM', 'AFP', 'APOM', 'ATF2', 'ATP6V1D', 'B4GAT1', 'BAIAP2', 'C19orf12', 'CALB2', 'CCL15', 'CCL20', 'CD300LF', 'CD5', 'CD63', 'CD79B', 'CDHR1', 'CEACAM21', 'CEACAM5', 'CES2', 'CHIT1', 'CLEC4G', 'CNTN5', 'COL6A3', 'COLEC12', 'CRH', 'CRTAC1', 'CTSH', 'CTSL', 'DKKL1', 'DLL1', 'DPT', 'DSG4', 'EPCAM', 'FABP1', 'FBP1', 'FCGR2A', 'FCGR2B', 'FCN2', 'FCRLB', 'FGF21', 'GDF15', 'GFAP', 'GFOD2', 'GFRA2', 'GGT5', 'GHRHR', 'GPA33', 'HBQ1', 'ICAM1', 'IGF2R', 'IGFBPL1', 'IL11', 'IL13', 'IL16', 'IL1RAP', 'IL2RA', 'IL2RB', 'ISLR2', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK12', 'KRT5', 'LAMA4', 'LGALS1', 'LGALS9', 'LIF', 'LILRA5', 'LILRB1', 'LILRB2', 'LRIG1', 'LY9', 'LY96', 'MARCO', 'MDGA1', 'MET', 'MSLN', 'MZB1', 'NCAM2', 'NPM1', 'NPTN', 'NPY', 'NTRK3', 'PAEP', 'PILRB', 'PLA2G7', 'PLAUR', 'PM20D1', 'PON3', 'PPY', 'RAB6B', 'RANGAP1', 'RBP2', 'REN', 'S100A16', 'SCARB1', 'SDC1', 'SIRT5', 'SPINK1', 'SPINT1', 'SRP14', 'SSB', 'TDGF1', 'TFPI2', 'THBS2', 'THPO', 'TNC', 'TNFRSF11A', 'TNFRSF11B', 'TNFSF12', 'TSLP', 'TYRO3', 'VWF', 'WISP2', 'XPNPEP2']",117
Fold 13,"['CCL20', 'CRTAC1', 'FABP4', 'HLA-DRA', 'LGALS1', 'MZB1']",6
Fold 14,"['ACE2', 'ACP6', 'ADAMTS13', 'ADAMTS15', 'ADAMTS16', 'ADGRG2', 'AMY2A', 'AMY2B', 'AOC1', 'BAIAP2', 'CAMKK1', 'CCL19', 'CCL20', 'CD109', 'CD22', 'CD276', 'CD38', 'CD79B', 'CDHR1', 'CELA3A', 'CHIT1', 'CHL1', 'CNDP1', 'CPA2', 'CRTAC1', 'CSF2RA', 'CTSH', 'CXCL8', 'DSG4', 'FASLG', 'FCN2', 'FCRL5', 'FGF2', 'FOSB', 'FXYD5', 'GFOD2', 'GFRA2', 'GGH', 'GGT5', 'GH2', 'IFNLR1', 'IGF2R', 'IGFBPL1', 'IGSF3', 'IL11', 'IL1A', 'ISLR2', 'KCNIP4', 'KLK10', 'KLK12', 'LAMA4', 'LGALS1', 'LHB', 'LILRB1', 'LY96', 'MAGED1', 'MAPT', 'MARCO', 'MDGA1', 'MET', 'MILR1', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NFASC', 'NINJ1', 'NOMO1', 'NPTN', 'NRP1', 'NXPH1', 'PCOLCE', 'PDGFC', 'PDGFRA', 'PI3', 'PON2', 'PON3', 'PRTG', 'PSPN', 'PTS', 'RANGAP1', 'S100A16', 'SDC1', 'SELPLG', 'SERPINA11', 'SIGLEC7', 'SIGLEC9', 'SMOC2', 'SNX9', 'SOD2', 'SPINT1', 'TDGF1', 'TFRC', 'TLR3', 'TMPRSS5', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF8', 'TSHB', 'VWA1', 'WFIKKN1', 'XPNPEP2']",102
Fold 15,"['CRTAC1', 'FCAR', 'LGALS1', 'MZB1', 'PLAUR', 'PON3', 'TNFRSF8']",7
Fold 16,"['CCL20', 'CCL7', 'CES2', 'CXCL8', 'FGF21', 'FOSB', 'GDF15', 'LGALS1', 'MDGA1', 'MSLN', 'MZB1', 'PON3', 'PRSS8', 'TFPI2']",14
Fold 17,[],0
Fold 18,"['LGALS9', 'MZB1']",2
Fold 19,"['CCL7', 'JUN', 'LGALS1', 'MAD1L1', 'MZB1']",5
Fold 20,"['CCL7', 'CRTAC1', 'LGALS1', 'MZB1']",4
Fold 21,"['ADAMTS13', 'CCL20', 'CCL7', 'CRTAC1', 'CXCL8', 'FBP1', 'FOSB', 'IL22RA1', 'LGALS1', 'MDGA1', 'MZB1', 'PON3', 'TFPI2']",13
Fold 22,"['BAIAP2', 'CCL20', 'CRTAC1', 'CXCL8', 'GGT1', 'JUN', 'LGALS1', 'MZB1', 'PLAUR', 'PSIP1', 'TMSB10', 'TNFRSF8']",12
Fold 23,"['ADAM15', 'ADAMTS13', 'ADCYAP1R1', 'ADGRG2', 'AMY2A', 'AMY2B', 'ANGPTL2', 'ANGPTL3', 'AOC1', 'APLP1', 'ATP6V1D', 'BAIAP2', 'C19orf12', 'CCL15', 'CCL19', 'CCL20', 'CD164', 'CD63', 'CDH17', 'CDHR1', 'CEACAM21', 'CEACAM3', 'CES2', 'CHIT1', 'CHL1', 'CHRDL2', 'CLEC4G', 'CLUL1', 'CNTN2', 'COL6A3', 'CPA1', 'CPA2', 'CPM', 'CRTAC1', 'CSF2RA', 'CTRB1', 'CTSF', 'CTSL', 'CTSS', 'CXCL8', 'DKK4', 'DKKL1', 'DLL1', 'DPT', 'DSG4', 'ECE1', 'EIF5A', 'ENPP7', 'ERBB3', 'FABP1', 'FABP9', 'FCN2', 'FCRL1', 'FCRL5', 'FCRL6', 'FGF21', 'FLT4', 'FOSB', 'FST', 'GDF15', 'GFAP', 'GFOD2', 'GFRA2', 'GGT5', 'GLB1', 'GOPC', 'GPA33', 'GRN', 'GRPEL1', 'HBQ1', 'HDGF', 'HLA-DRA', 'HMBS', 'IFNGR1', 'IGF2R', 'IGFBPL1', 'IL10', 'IL11', 'IL12RB1', 'IL13', 'IL16', 'IL17C', 'IL20', 'IL22RA1', 'IL2RA', 'IL2RB', 'IL5RA', 'ILKAP', 'KCNIP4', 'KIR2DL3', 'KLB', 'KLK1', 'LAMA4', 'LEFTY2', 'LEPR', 'LGALS1', 'LILRA5', 'LILRB1', 'LRPAP1', 'LY96', 'LYPD1', 'LYPD8', 'MARCO', 'MDGA1', 'MET', 'MICB_MICA', 'MME', 'MMP13', 'MOG', 'MUC13', 'MUC16', 'MZB1', 'NAMPT', 'NCLN', 'NINJ1', 'NPTN', 'NPY', 'NTRK3', 'PAEP', 'PCOLCE', 'PCSK9', 'PDGFC', 'PEBP1', 'PIGR', 'PM20D1', 'PNLIPRP2', 'PODXL2', 'POLR2F', 'PON3', 'PPY', 'PRSS8', 'PTH1R', 'PVALB', 'RANGAP1', 'RARRES1', 'RASA1', 'SCARB1', 'SCGN', 'SEZ6L2', 'SIGLEC10', 'SIGLEC7', 'SIGLEC9', 'SMOC2', 'SPINK1', 'SPINT1', 'SSC5D', 'TDGF1', 'TFPI2', 'TFRC', 'THPO', 'TMPRSS5', 'TNC', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF8', 'TNNI3', 'TSHB', 'TSLP', 'TXLNA', 'VEGFA', 'XPNPEP2']",161
Fold 24,"['ACE2', 'ACP5', 'ADAMTS13', 'ADAMTS15', 'AMY2A', 'AMY2B', 'ANXA3', 'APOM', 'ATP6V1D', 'B4GAT1', 'BAIAP2', 'C19orf12', 'CAPG', 'CASP1', 'CCL15', 'CCL19', 'CCL20', 'CCS', 'CD276', 'CD5', 'CD63', 'CDH17', 'CDHR1', 'CDHR2', 'CEACAM5', 'CELA3A', 'CES2', 'CHL1', 'CLEC10A', 'COL6A3', 'CPA2', 'CRTAC1', 'CTRB1', 'CTSF', 'CTSH', 'CXCL8', 'DKKL1', 'DPT', 'DSG4', 'EPCAM', 'EPS8L2', 'ERBB4', 'FBP1', 'FOSB', 'FUCA1', 'FUT3_FUT5', 'GAL', 'GFOD2', 'GFRA2', 'GGT1', 'GNLY', 'GPA33', 'GPC5', 'HAVCR1', 'HDGF', 'HLA-DRA', 'HS6ST1', 'IFNGR2', 'IGF2R', 'IL11', 'IL13', 'IL15RA', 'IL17RB', 'IL1RAP', 'IL2', 'IL2RA', 'IL32', 'IL33', 'ISM1', 'KIR2DL3', 'KLK11', 'KLK12', 'KLRD1', 'LAMA4', 'LGALS1', 'LY96', 'MASP1', 'MATN2', 'MDGA1', 'MET', 'MGMT', 'MILR1', 'MME', 'MSLN', 'MUC13', 'MZB1', 'NCF2', 'NCLN', 'NPTN', 'NPY', 'NTF4', 'NXPH1', 'PCSK9', 'PDGFC', 'PDGFRA', 'PM20D1', 'PNLIPRP2', 'POLR2F', 'PON3', 'PPY', 'PRL', 'PTH1R', 'RANGAP1', 'S100A11', 'SCARB1', 'SDC1', 'SFTPD', 'SMOC2', 'SPINK6', 'SRP14', 'SSB', 'TDGF1', 'THBS2', 'THPO', 'TNC', 'TNFSF12', 'TSHB', 'TYRO3', 'XPNPEP2']",119
Fold 25,['MZB1'],1
Fold 26,"['ACP5', 'ADAMTS15', 'AHSP', 'AOC1', 'ATP5PO', 'CALB2', 'CCL15', 'CCL20', 'CD63', 'CDC27', 'CDH17', 'CDHR1', 'CHIT1', 'CLEC4G', 'CLPS', 'COL4A1', 'COL6A3', 'COLEC12', 'CRTAC1', 'CTSF', 'CTSH', 'CTSL', 'CXCL16', 'CXCL8', 'DDR1', 'DKKL1', 'DPT', 'DSG4', 'EPCAM', 'EPO', 'FABP4', 'FBP1', 'FCGR2A', 'FCN2', 'FOSB', 'GALNT3', 'GDF15', 'GFAP', 'GFOD2', 'GFRA2', 'GGT1', 'GLB1', 'GRN', 'HBQ1', 'HDGF', 'HEBP1', 'HMBS', 'HPGDS', 'HSPG2', 'IL13', 'IL22RA1', 'IL2RA', 'IL5', 'IL5RA', 'ISLR2', 'KCNIP4', 'KLK10', 'KLK12', 'L1CAM', 'LAMA4', 'LBR', 'LILRA5', 'LILRB1', 'LRP11', 'LRRC25', 'LY96', 'LYPD1', 'MARCO', 'MDGA1', 'MET', 'MSLN', 'MUC13', 'MZB1', 'NCLN', 'NDRG1', 'NOS1', 'NPDC1', 'NPY', 'NRP2', 'NTRK3', 'PDGFC', 'PIGR', 'PLA2G7', 'PLAUR', 'POLR2F', 'PON3', 'PRKRA', 'PSIP1', 'RANGAP1', 'RETN', 'S100A16', 'SCGN', 'SEZ6L2', 'SFTPA2', 'SIGLEC9', 'SIRT5', 'SLC16A1', 'SLC39A5', 'SMOC2', 'SPINT1', 'SRP14', 'SSB', 'TFPI2', 'THPO', 'TNC', 'TNFRSF11A', 'TNFRSF13C', 'TNFRSF4', 'TPT1', 'TSHB', 'TSLP', 'TSPAN1', 'VWA1', 'WIF1', 'XPNPEP2']",115
Fold 27,"['CCL20', 'CRTAC1', 'CTSH', 'CXCL13', 'CXCL8', 'DSG4', 'IGF2R', 'LGALS1', 'MDGA1', 'MSR1', 'MZB1', 'PON3', 'SIGLEC9', 'TNFRSF8']",14
Fold 28,[],0
Fold 29,"['ACE2', 'ADAM15', 'ADAMTS13', 'ADAMTS15', 'AFP', 'AMIGO2', 'ANGPTL2', 'APBB1IP', 'B4GAT1', 'BAIAP2', 'CAPG', 'CCL17', 'CCL20', 'CCN2', 'CD109', 'CD164', 'CD177', 'CD276', 'CD5', 'CD63', 'CDH17', 'CDHR1', 'CDHR2', 'CES2', 'CHIT1', 'CHL1', 'CLEC10A', 'COL4A1', 'COL6A3', 'CPA2', 'CRLF1', 'CRTAC1', 'CRTAM', 'CSF2RA', 'CTSF', 'CTSH', 'CXCL8', 'DAPP1', 'DGKZ', 'DKKL1', 'DNER', 'DPT', 'ENPP7', 'EPCAM', 'ERBB2', 'FABP4', 'FASLG', 'FCAR', 'FCN2', 'FCRL5', 'FLT1', 'FOSB', 'FUCA1', 'GFOD2', 'GFRA2', 'GGT1', 'GGT5', 'GNLY', 'GPA33', 'GPC5', 'GRN', 'GZMH', 'HAVCR1', 'HCLS1', 'HDGF', 'HSPG2', 'ICAM1', 'ICAM4', 'IDI2', 'IFNLR1', 'IGF2R', 'IGFBPL1', 'IL11', 'IL13', 'IL16', 'IL17C', 'IL17D', 'IL17F', 'IL17RB', 'IL1A', 'IL1RL2', 'IL22RA1', 'IL5', 'IL5RA', 'ING1', 'ITGAM', 'KCNIP4', 'KIR2DL3', 'KLB', 'KLK10', 'LAMA4', 'LILRA5', 'LTA', 'LY9', 'LY96', 'LYPD1', 'MARCO', 'MASP1', 'MDGA1', 'MET', 'MGMT', 'MILR1', 'MSLN', 'MUC13', 'MUC16', 'MZB1', 'NCF2', 'NCLN', 'NFASC', 'NINJ1', 'NPTN', 'PDGFC', 'PDGFRA', 'PIGR', 'PM20D1', 'POLR2F', 'PON3', 'PPY', 'PRKRA', 'PRL', 'PRSS8', 'PSIP1', 'PTH1R', 'PTS', 'RANGAP1', 'RARRES1', 'RASSF2', 'S100A11', 'SCARB1', 'SELE', 'SELPLG', 'SERPINB8', 'SFTPD', 'SH2D1A', 'SIGLEC9', 'SMOC2', 'SPINK1', 'SPINT1', 'SRP14', 'SSC5D', 'STC2', 'TDGF1', 'TFRC', 'THBS2', 'THPO', 'TLR3', 'TMPRSS5', 'TNC', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TP53INP1', 'TPT1', 'VASN', 'VTCN1', 'XPNPEP2']",157
Fold 30,"['CCL20', 'CCL7', 'CTSH', 'LGALS1', 'MUC13', 'MZB1', 'PON3']",7
Fold 31,"['ADAMTS13', 'ADAMTS15', 'ANGPTL2', 'AOC1', 'APEX1', 'BAIAP2', 'CCL20', 'CD200R1', 'CD209', 'CD276', 'CD28', 'CNTN5', 'COL9A1', 'CPE', 'CRTAC1', 'CSTB', 'CTSH', 'DDR1', 'DKKL1', 'DPP6', 'DPT', 'DSG4', 'EPCAM', 'FABP4', 'FBP1', 'FCAR', 'FOSB', 'GCG', 'GFRA2', 'GGT1', 'GPA33', 'GPC5', 'HBQ1', 'HDGF', 'HMBS', 'IDS', 'IGF2R', 'IGFBPL1', 'IL13', 'IL16', 'IL17A', 'IL17C', 'IL1RAP', 'IL24', 'IL2RA', 'IL5', 'ISLR2', 'JUN', 'KLK12', 'KLRD1', 'L1CAM', 'LGALS1', 'LILRB1', 'LRPAP1', 'LY96', 'LYPD1', 'MARCO', 'MDGA1', 'MET', 'MSR1', 'MUC13', 'MZB1', 'NOS1', 'NPTN', 'NTF4', 'PAEP', 'PDGFC', 'PDGFRA', 'PKLR', 'PON3', 'PSIP1', 'S100A16', 'SEMA3F', 'SERPINB8', 'SIGLEC9', 'SLC39A5', 'SMOC2', 'SPINT1', 'SRP14', 'SSB', 'THBS2', 'THPO', 'TMSB10', 'TNFRSF13B', 'TNFRSF8', 'TPT1', 'VWF', 'WFIKKN1', 'XPNPEP2']",89
Fold 32,"['ACP5', 'ADAM15', 'ANG', 'ANXA3', 'AOC1', 'ATP6V1D', 'B4GAT1', 'CAPG', 'CCL15', 'CCL20', 'CD177', 'CD5', 'CD63', 'CDH17', 'CES2', 'CHIT1', 'CLUL1', 'COL4A1', 'COL6A3', 'COLEC12', 'CRTAC1', 'CTSF', 'CTSH', 'CTSL', 'DCXR', 'DKKL1', 'DLL1', 'DSG2', 'ENPP7', 'FABP4', 'FASLG', 'FBP1', 'FCGR2A', 'FCN2', 'FCRL5', 'FGF21', 'FOPNL', 'FOSB', 'GFRA2', 'GNLY', 'GRN', 'GZMH', 'HCLS1', 'HDGF', 'HLA-DRA', 'HSP90B1', 'ICAM1', 'IFNGR2', 'IGF2R', 'IGFBPL1', 'IL17C', 'IL17F', 'IL22RA1', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLB', 'KLK1', 'KLK10', 'KLRD1', 'LAIR2', 'LAMA4', 'LGALS1', 'LGALS9', 'LRP11', 'LRPAP1', 'LY75', 'MAD1L1', 'MARCO', 'MASP1', 'MDGA1', 'MET', 'MGMT', 'MMP13', 'MSLN', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NDRG1', 'NFATC3', 'NOS1', 'NPTN', 'NRP2', 'PCOLCE', 'PDGFC', 'PDGFRA', 'PIGR', 'PILRA', 'PLAUR', 'PM20D1', 'PPY', 'PRL', 'PRSS8', 'PSPN', 'PTH1R', 'PTPRM', 'RANGAP1', 'RASSF2', 'RETN', 'S100A16', 'SERPINB9', 'SMOC2', 'SMPDL3A', 'SPINK1', 'SPINK6', 'SPINT1', 'SRP14', 'SSB', 'SSC5D', 'TDGF1', 'TFPI2', 'THPO', 'TMPRSS5', 'TNC', 'TNFRSF11B', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TNFSF12', 'TSPAN1', 'XPNPEP2', 'XRCC4']",123
